year,industry,kind_of_business,average_sales
2018,Automotive,Motor vehicle and parts dealers,100411
2019,Automotive,Motor vehicle and parts dealers,103145
2020,Automotive,Motor vehicle and parts dealers,100692
2021,Automotive,Automobile and other motor vehicle dealers,114003
2021,Automotive,Automobile dealers,104822
2021,Automotive,Motor vehicle and parts dealers,123343
2022,Automotive,Automobile and other motor vehicle dealers,116977
2022,Automotive,Automobile dealers,107015
2022,Automotive,Motor vehicle and parts dealers,127327
2022,Miscellaneous,Nonstore retailers,106950
