2010,37690,7285
2021,38865,2090
2013,41586,8838
2022,40531,0
2016,40065,9272
2019,38382,9304
2020,27807,4135
2014,41175,9226
2011,40048,7860
2017,39212,9296
2012,41794,8272
2018,39891,9288
2015,40471,9361
