year,industry,growth_rate
2011,Fashion & Accessories,400
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,700
2011,Fashion & Accessories,300
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,700
2011,Fashion & Accessories,400
2011,Fashion & Accessories,100
2011,Fashion & Accessories,500
2011,Fashion & Accessories,400
2011,Fashion & Accessories,100
2011,Fashion & Accessories,100
2011,Fashion & Accessories,800
2011,Fashion & Accessories,400
2011,Fashion & Accessories,100
2012,Fashion & Accessories,1300
2012,Fashion & Accessories,300
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,200
2012,Fashion & Accessories,400
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,600
2012,Fashion & Accessories,300
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,700
2012,Fashion & Accessories,300
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,700
2012,Fashion & Accessories,400
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,400
2012,Fashion & Accessories,300
2012,Fashion & Accessories,100
2012,Fashion & Accessories,900
2012,Fashion & Accessories,400
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,900
2012,Fashion & Accessories,400
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,700
2012,Fashion & Accessories,300
2012,Fashion & Accessories,100
2012,Fashion & Accessories,800
2012,Fashion & Accessories,400
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2012,Fashion & Accessories,500
2012,Fashion & Accessories,400
2012,Fashion & Accessories,100
2012,Fashion & Accessories,900
2012,Fashion & Accessories,500
2012,Fashion & Accessories,100
2012,Fashion & Accessories,100
2013,Fashion & Accessories,900
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,1000
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,200
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,700
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,900
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,600
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,900
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,800
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,800
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,600
2013,Fashion & Accessories,400
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,700
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2013,Fashion & Accessories,600
2013,Fashion & Accessories,300
2013,Fashion & Accessories,100
2013,Fashion & Accessories,100
2014,Fashion & Accessories,1100
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,300
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,600
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,700
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,800
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,900
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,700
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,800
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,600
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,700
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,700
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2014,Fashion & Accessories,100
2014,Fashion & Accessories,400
2014,Fashion & Accessories,300
2014,Fashion & Accessories,100
2015,Fashion & Accessories,1100
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,1200
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,200
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,700
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,1000
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,800
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,700
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,800
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,600
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,800
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,600
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2015,Fashion & Accessories,100
2015,Fashion & Accessories,500
2015,Fashion & Accessories,300
2015,Fashion & Accessories,100
2016,Fashion & Accessories,1700
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,200
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,600
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2016,Fashion & Accessories,800
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,900
2016,Fashion & Accessories,300
2016,Fashion & Accessories,100
2016,Fashion & Accessories,100
2016,Fashion & Accessories,900
2016,Fashion & Accessories,300
